Date,Task,ResponseTime(ms),CharacterCount,ModelUsed,IncludeContext
6/8/2025 10:08:02 PM,Reasoning,67155,1,Deepseek R1,True
6/8/2025 10:09:26 PM,Reasoning,17886,8,Deepseek R1,True
6/8/2025 10:10:03 PM,Reasoning,37659,1,Deepseek R1,True
6/8/2025 10:10:10 PM,Reasoning,6915,6,Deepseek R1,True
6/8/2025 10:10:19 PM,Reasoning,8630,8,Deepseek R1,True
6/8/2025 10:14:08 PM,Reasoning,33030,680,Deepseek R1,True
6/8/2025 10:14:14 PM,Dialogue,6203,1,Gemma 3B,True
6/8/2025 10:14:15 PM,Dialogue,591,163,Gemma 3B,True
6/8/2025 10:14:16 PM,Dialogue,997,223,Gemma 3B,True
6/8/2025 10:14:17 PM,Dialogue,1067,216,Gemma 3B,True
6/8/2025 10:14:19 PM,Dialogue,1612,357,Gemma 3B,True
6/8/2025 10:14:20 PM,Dialogue,1625,358,Gemma 3B,True
6/8/2025 10:14:22 PM,Dialogue,1580,342,Gemma 3B,True
6/8/2025 10:14:23 PM,Dialogue,1627,312,Gemma 3B,True
6/8/2025 10:14:25 PM,Dialogue,1438,320,Gemma 3B,True
6/8/2025 10:14:26 PM,Dialogue,1429,299,Gemma 3B,True
6/8/2025 10:14:39 PM,Reasoning,13058,6,Deepseek R1,True
6/8/2025 10:14:47 PM,Reasoning,7973,6,Deepseek R1,True
6/8/2025 10:15:08 PM,Reasoning,20957,6,Deepseek R1,True
6/8/2025 10:15:44 PM,Reasoning,35498,6,Deepseek R1,True
6/8/2025 10:15:55 PM,Reasoning,11070,6,Deepseek R1,True
6/8/2025 10:16:03 PM,Reasoning,7643,6,Deepseek R1,True
6/8/2025 10:16:11 PM,Reasoning,8109,6,Deepseek R1,True
6/8/2025 10:16:57 PM,Reasoning,46654,6,Deepseek R1,True
6/8/2025 10:17:10 PM,Reasoning,12979,6,Deepseek R1,True
6/8/2025 10:17:20 PM,Reasoning,9347,6,Deepseek R1,True
6/8/2025 10:17:26 PM,Reasoning,5726,6,Deepseek R1,True
6/8/2025 10:17:55 PM,Reasoning,29153,6,Deepseek R1,True
6/8/2025 10:18:10 PM,Reasoning,15391,6,Deepseek R1,True
6/8/2025 10:18:21 PM,Reasoning,10730,8,Deepseek R1,True
6/8/2025 10:18:36 PM,Reasoning,15382,1,Deepseek R1,True
6/8/2025 10:18:43 PM,Reasoning,6787,6,Deepseek R1,True
6/8/2025 10:18:52 PM,Reasoning,8643,6,Deepseek R1,True
6/8/2025 10:18:59 PM,Reasoning,7554,6,Deepseek R1,True
6/8/2025 10:19:14 PM,Reasoning,14491,6,Deepseek R1,True
6/8/2025 10:19:26 PM,Reasoning,12384,6,Deepseek R1,True
6/8/2025 10:19:37 PM,Reasoning,10502,6,Deepseek R1,True
6/8/2025 10:19:43 PM,Reasoning,5976,6,Deepseek R1,True
6/8/2025 10:19:53 PM,Reasoning,10114,8,Deepseek R1,True
6/8/2025 10:21:22 PM,Reasoning,88486,1,Deepseek R1,True
