Date, Character, TaskType,TotalTime(ms),ResponseTime(ms),TaskTime(ms)
6/8/2025 10:10:03 PM,Raul Alvaros,location,55604,17924,37680
6/8/2025 10:10:10 PM,Sophia Martinez,search,6918,6918,0
6/8/2025 10:14:14 PM,Andre Kim,talk,39283,33071,6212
6/8/2025 10:14:39 PM,Sophia Martinez,search,13068,13068,0
6/8/2025 10:14:47 PM,Andre Kim,search,7984,7984,0
6/8/2025 10:15:08 PM,Sophia Martinez,search,20968,20968,0
6/8/2025 10:15:44 PM,Andre Kim,search,35501,35501,0
6/8/2025 10:15:55 PM,Sophia Martinez,search,11085,11085,0
6/8/2025 10:16:03 PM,Andre Kim,search,7651,7651,0
6/8/2025 10:16:11 PM,Sophia Martinez,search,8117,8117,0
6/8/2025 10:16:57 PM,Andre Kim,search,46669,46669,0
6/8/2025 10:17:10 PM,Sophia Martinez,search,12984,12984,0
6/8/2025 10:17:20 PM,Andre Kim,search,9351,9351,0
6/8/2025 10:17:26 PM,Sophia Martinez,search,5734,5734,0
6/8/2025 10:17:55 PM,Andre Kim,search,29169,29169,0
6/8/2025 10:18:10 PM,Sophia Martinez,search,15401,15401,0
6/8/2025 10:18:36 PM,Andre Kim,location,26135,10735,15400
6/8/2025 10:18:43 PM,Sophia Martinez,search,6801,6801,0
6/8/2025 10:18:52 PM,Andre Kim,search,8651,8651,0
6/8/2025 10:18:59 PM,Sophia Martinez,search,7567,7567,0
6/8/2025 10:19:14 PM,Andre Kim,search,14501,14501,0
6/8/2025 10:19:26 PM,Sophia Martinez,search,12401,12401,0
6/8/2025 10:19:37 PM,Andre Kim,search,10517,10517,0
6/8/2025 10:19:43 PM,Sophia Martinez,search,5984,5984,0
