Date,Task,ResponseTime(ms),CharacterCount,ModelUsed,IncludeContext
6/8/2025 10:27:39 PM,Reasoning,18212,528,Deepseek R1,True
6/8/2025 10:27:46 PM,Dialogue,6761,1,Gemma 3B,True
6/8/2025 10:27:46 PM,Dialogue,547,118,Gemma 3B,True
6/8/2025 10:27:47 PM,Dialogue,938,211,Gemma 3B,True
6/8/2025 10:27:48 PM,Dialogue,1341,249,Gemma 3B,True
6/8/2025 10:27:50 PM,Dialogue,1486,292,Gemma 3B,True
6/8/2025 10:27:52 PM,Dialogue,1629,321,Gemma 3B,True
6/8/2025 10:27:54 PM,Dialogue,1958,455,Gemma 3B,True
6/8/2025 10:27:56 PM,Dialogue,2462,498,Gemma 3B,True
6/8/2025 10:27:58 PM,Dialogue,1494,348,Gemma 3B,True
6/8/2025 10:27:59 PM,Dialogue,1500,334,Gemma 3B,True
6/8/2025 10:28:15 PM,Reasoning,15695,6,Deepseek R1,True
6/8/2025 10:28:20 PM,Reasoning,5310,6,Deepseek R1,True
6/8/2025 10:28:35 PM,Reasoning,14661,4,Deepseek R1,True
6/8/2025 10:28:39 PM,Dialogue,4456,1,Gemma 3B,True
6/8/2025 10:28:40 PM,Dialogue,431,67,Gemma 3B,True
6/8/2025 10:28:41 PM,Dialogue,974,207,Gemma 3B,True
6/8/2025 10:28:42 PM,Dialogue,1068,189,Gemma 3B,True
6/8/2025 10:28:43 PM,Dialogue,1286,291,Gemma 3B,True
6/8/2025 10:28:45 PM,Dialogue,1660,341,Gemma 3B,True
6/8/2025 10:28:47 PM,Dialogue,1991,453,Gemma 3B,True
6/8/2025 10:28:50 PM,Dialogue,2893,712,Gemma 3B,True
6/8/2025 10:28:51 PM,Dialogue,1473,307,Gemma 3B,True
6/8/2025 10:28:53 PM,Dialogue,1235,233,Gemma 3B,True
6/8/2025 10:29:06 PM,Reasoning,13413,6,Deepseek R1,True
6/8/2025 10:29:10 PM,Reasoning,3541,6,Deepseek R1,True
6/8/2025 10:29:18 PM,Reasoning,8674,4,Deepseek R1,True
6/8/2025 10:29:23 PM,Dialogue,4408,1,Gemma 3B,True
6/8/2025 10:29:23 PM,Dialogue,639,114,Gemma 3B,True
6/8/2025 10:29:25 PM,Dialogue,1238,229,Gemma 3B,True
6/8/2025 10:29:26 PM,Dialogue,1312,269,Gemma 3B,True
6/8/2025 10:29:28 PM,Dialogue,1663,389,Gemma 3B,True
6/8/2025 10:29:29 PM,Dialogue,1729,341,Gemma 3B,True
6/8/2025 10:29:31 PM,Dialogue,1644,332,Gemma 3B,True
6/8/2025 10:29:33 PM,Dialogue,1991,374,Gemma 3B,True
6/8/2025 10:29:35 PM,Dialogue,1576,322,Gemma 3B,True
6/8/2025 10:29:36 PM,Dialogue,1391,282,Gemma 3B,True
6/8/2025 10:29:52 PM,Reasoning,16204,6,Deepseek R1,True
6/8/2025 10:30:06 PM,Reasoning,13877,6,Deepseek R1,True
6/8/2025 10:30:21 PM,Reasoning,14891,44,Deepseek R1,True
6/8/2025 10:30:38 PM,Reasoning,16738,1,Deepseek R1,True
